pt-br,en
Tom e Mary trabalham duro.,Tom and Mary work hard.
Tom e eu revezamos.,Tom and I took turns.
Tom mentiu sobre o que ele esteve fazendo.,Tom lied about what he'd been doing.
Tem sido um ótimo verão.,It's been a great summer.
Tom grelhou o bife.,Tom grilled the steak.
Tom começou a escrever.,Tom started writing.
Tom não dormiu aqui.,Tom didn't sleep here.
Tom pensa fora da caixa.,Tom thinks outside the box.
Tom nem sequer tem um lápis.,Tom doesn't even have a pencil.
Eu não sabia que você não sabia nadar.,I didn't know you didn't know how to swim.
"E então, como foi?","So, what was it like?"
Você verá.,You'll see.
Está realmente frio aqui.,It's really cold in here.
O Sami não mudou nada.,Sami didn't change anything.
É a casa dos meus sonhos.,It's my dream home.
Eu perguntei a Mary por que ela não quis ir ao zoológico conosco.,I asked Mary why she didn't want to go to the zoo with us.
Eu vou falar com eles.,I'm going to talk to them.
Eu vou falar com elas.,I'm going to talk to them.
Nós pegamos tudo.,We've got everything.
Tom disse que ele vai fazer isso por conta própria.,Tom said he'll be doing that on his own.
"Tom fez mesmo isso, não fez?","Tom did do that, didn't he?"
Eu não vou deixá-lo dirigir.,I won't let you drive.
Eu não vou te deixar dirigir.,I won't let you drive.
Eu não vou deixar você dirigir.,I won't let you drive.
Tom teve sorte de não ser punido.,Tom is lucky he didn't get punished.
Tom disse que nunca viu Mary fazendo isso.,Tom said he's never seen Mary doing that.
Tom disse que nunca viu Mary fazendo aquilo.,Tom said he's never seen Mary doing that.
Eu tenho tentado descobrir como o Tom fez o que fez.,I've been trying to figure out how Tom did what he did.
Ainda não ligamos para a polícia.,We haven't called the police yet.
Ainda não chamamos a polícia.,We haven't called the police yet.
"Eu sou bem criativo, eu acho.","I'm pretty creative, I think."
Eu acabei de ver algo se mexendo.,I just saw something moving.
A água está gelada hoje.,The water's cold today.
Saí cedo do trabalho e fui direto para casa.,I left work early and went straight home.
Tom prendeu o cavalo dele no poste de madeira.,Tom tied his horse to the wooden post.
Tom não compareceu àquela reunião.,Tom didn't attend that meeting.
Nós não podemos simplesmente ignorar isso.,We can't just ignore that.
Nós não confiamos nela.,We don't trust her.
Tom é rápido.,Tom's fast.
Sami era tenente.,Sami was a lieutenant.
O caminhão bateu no nosso carro.,The truck bumped into our car.
Eles querem ficar.,They want to stay.
Elas querem ficar.,They want to stay.
Eu acho que nós poderíamos ter feito mais para ajudar.,I think we could've done more to help.
"Não fale, apenas me ame!","Don't speak, just love me!"
"Às vezes, eu não acho que ele realmente queira saber a verdade.","Sometimes, I don't think he really wants to know the truth."
Eu não posso deixá-lo lá.,I can't leave him there.
Ela me mandou uma mensagem de texto.,She sent me a text message.
Ela me enviou uma mensagem de texto.,She sent me a text message.
Tom estava gritando.,Tom was shouting.
Eu estou feliz por termos visto eles.,I'm glad we saw them.
Eu estou feliz por termos visto elas.,I'm glad we saw them.
Eu acho que Tom sabe por que estou aqui.,I think Tom knows why I'm here.
Nós não sabemos o que o Tom sabe.,We don't know what Tom knows.
Vamos pegá-los.,Let's get them.
Vamos pegá-las.,Let's get them.
As pessoas realmente o temiam.,People really feared him.
É realmente bonito aqui.,It's really pretty here.
"Paciência, Mary, paciência...","Patience, Mary, patience..."
Tom recebeu uma chamada de Mary.,Tom got a call from Mary.
Eu não sei do que você está reclamando.,I don't know what you're complaining about.
"Fica no jardim, então!","Stay in the garden, then!"
Nós precisamos de capital.,We need capital.
Eu pensei que eles estavam errados.,I thought they were wrong.
Lamentavelmente!,Regrettably!
"Quanto mais ele trabalha, mais ele ganha.","The more he works, the more he earns."
Ele ainda não está seco.,It's not dry yet.
Ela ainda não está seca.,It's not dry yet.
Ela melhorou!,She got better!
Bonito corte de cabelo!,Nice haircut!
É para levar?,To go?
De jeito nenhum.,No chance.
Tom disse que ele não achava que Mary tenha realmente feito o que John disse que ela fez.,Tom said he didn't think Mary really did what John said she did.
Tom também não gosta tanto assim de você.,Tom doesn't like you that much either.
Tom foi abandonado?,Was Tom abandoned?
Eles abandonaram o Tom.,They abandoned Tom.
Tom não contou a verdade a ninguém.,Tom didn't tell anybody the truth.
Tom parece grato.,Tom looks grateful.
Eu já te disse que não planejo fazer isso.,I've already told you I don't plan to do that.
Você não precisa partir se não quiser.,You don't have to leave if you don't want to.
"Você sabe que essa não foi a primeira vez que o Tom fez isso, não sabe?","You know it wasn't the first time Tom did that, don't you?"
O que matou ela?,What killed her?
Eu não fui o único que não gostou desse filme.,It wasn't just me who didn't like that movie.
Não fui só eu que não gostei desse filme.,It wasn't just me who didn't like that movie.
Tom disse que não havia tempo suficiente para fazer isso.,Tom said there wasn't enough time to do that.
Tom disse que concorda que isso é um problema.,Tom said he agrees it's a problem.
Isso é tudo que vou dizer.,That's all I'll say.
Tom pensa de maneira não convencional.,Tom thinks outside the box.
Eles não podem ouvir você.,They can't hear you.
Eles não podem ouvir vocês.,They can't hear you.
Eu não estou dizendo que o Tom e a Mary estão mentindo.,I'm not saying Tom and Mary are lying.
"Ao escutar a notícia, ele deu um pulo da cadeira.","Hearing the news, he jumped out of his chair."
Tom não bebeu muito.,Tom didn't drink a lot.
Não podemos confiar em Tom.,We can't trust Tom.
Nós não estávamos prestando atenção.,We weren't paying attention.
Aprendemos muito com Tom.,We've learned a lot from Tom.
É melhor você descer aqui.,You'd better get down here.
Sami não tirou os olhos de Layla.,Sami didn't take his eyes off Layla.
Sami não tirava os olhos de Layla.,Sami didn't take his eyes off Layla.
Não preciso de uma babá.,I don't need a babysitter.
Mudamos de ideia.,We changed our minds.
Tom me disse que estava com medo.,Tom told me he was afraid.
Tom esperou no estacionamento.,Tom waited in the parking lot.
Tom não sabia que Maria era casada.,Tom didn't know Mary was married.
Eles sentiram falta de Tom.,They missed Tom.
Ele não conseguiu aguentar o amargor do café.,He couldn't stand the bitterness of the coffee.
Obrigado.,Thanks.
Voltarei lá pela meia-noite.,I'll be back by midnight.
Estarei de volta lá pela meia-noite.,I'll be back by midnight.
Tom precisa sair mais.,Tom needs to get out more.
Tom elogiou Maria.,Tom praised Mary.
Ficamos perplexos.,We were flabbergasted.
Tom não queria estudar no exterior.,Tom didn't want to study abroad.
Tom não quer ser médico.,Tom doesn't want to be a doctor.
Tom não quer ir de trem.,Tom doesn't want to go by train.
Tom não queria ser professor.,Tom didn't want to be a teacher.
Tom não queria comprar nada.,Tom didn't want to buy anything.
Tom ainda acredita em mágica?,Does Tom still believe in magic?
Que história comovente!,What a heartbreaking story!
Tom levou tudo.,Tom took everything.
Eles não sabem de nada.,They don't know anything.
Não sei o que estou fazendo.,I don't know what I'm doing.
Eles me contrataram.,They hired me.
Então aonde vou?,So where do I go?
Ainda não acredito!,I still don't believe it!
Vimos esse padrão antes.,We've seen this pattern before.
Tom deveria ter chamado a polícia.,Tom should've called the police.
Os cachorros começaram a rosnar para Tom.,The dogs started growling at Tom.
Eles estão tentando ajudar.,They're trying to help.
O império cairá.,The empire will fall.
Tom se contradisse.,Tom contradicted himself.
Tom rasgou os ingressos.,Tom tore up the tickets.
Você não sabia que Tom gostava de Maria?,Didn't you know Tom liked Mary?
Tom arrumou a sala de estar.,Tom tidied up the living room.
"Obrigado, é só isso.","Thanks, that's all."
Você não tinha um gato?,Didn't you use to have a cat?
Tom não mudou nada.,Tom hasn't changed at all.
Tom me disse que te contou.,Tom told me he told you.
Eles nem sequer se importam.,They don't even care.
Elas nem sequer se importam.,They don't even care.
"Você contou a eles, não contou?","You've told them, haven't you?"
Tom gritou por ajuda.,Tom yelled for help.
Tom sabe que sabemos.,Tom knows that we know.
Tom me disse que você não chorou.,Tom told me you didn't cry.
Não estou pedindo muito.,I'm not asking for much.
O que é que eles estão construindo?,What's it they're building?
"Você sabe o que é, não sabe?","You know what it is, don't you?"
Tom disse que não estava com sede.,Tom said he wasn't thirsty.
Diga a Tom que estamos indo.,Tell Tom we're on our way.
Tom foi expulso do bar.,Tom got kicked out of the bar.
"Você sabe, não sabe?","You know, don't you?"
Pense neles.,Think about them.
Não sabia que Tom cozinhava tão bem.,I didn't know Tom could cook so well.
Tom foi sozinho.,Tom went alone.
Eu chamei a polícia.,I called the cops.
Tom sabia que Maria não podia comer nozes.,Tom knew Mary couldn't eat nuts.
Tom acertou em cheio.,Tom hit the nail on the head.
Tom disse que você queria ir a Boston conosco.,Tom said you wanted to go to Boston with us.
Tom disse que você queria ir a Boston com a gente.,Tom said you wanted to go to Boston with us.
Tom correu descalço na praia.,Tom ran barefoot on the beach.
Tom disse que não sabe onde é que Maria trabalha.,Tom said he doesn't know where Mary works.
Tom disse que Maria estava tentando ser otimista.,Tom said Mary was trying to be optimistic.
Espero que Tom não esteja chorando.,I hope Tom isn't crying.
Tom e eu descemos as escadas juntos.,Tom and I walked down the stairs together.
Tom ainda não chegou.,Tom hasn't arrived yet.
Prometo que isso não acontecerá novamente.,I promise that won't happen again.
Não aperta o botão errado.,Don't hit the wrong button.
Tom ainda não se formou.,Tom still hasn't graduated.
Tom disse que ficou chateado.,Tom said he was upset.
Tom prestou continência à bandeira.,Tom saluted the flag.
Tom se sentou no banco.,Tom sat on the bench.
Partiremos amanhã.,We'll be leaving tomorrow.
Não quero trabalhar aqui.,I don't want to work here.
Tom não estava lá fora.,Tom wasn't outside.
Tom quer saber quando você virá.,Tom wants to know when you're coming.
Tom quer saber quando vocês virão.,Tom wants to know when you're coming.
Tom pagou Mary.,Tom paid Mary.
Ela é uma mulher casada.,She's a married woman.
Tom disse que Mary está exausta.,Tom said Mary is exhausted.
Eu não queria voltar para casa.,I didn't want to go back home.
Tom virá de ônibus?,Will Tom come by bus?
Tom ainda não pagou.,Tom hasn't paid yet.
"Você convidou Tom, não convidou?","You invited Tom, didn't you?"
Tom ainda não foi demitido.,Tom hasn't yet been fired.
Tom entregou o lápis a Mary.,Tom handed Mary the pencil.
Tom não costuma fazer isso.,Tom doesn't usually do that.
Tom ainda não foi demitido.,Tom hasn't been fired yet.
Tom ainda não pagou.,Tom hasn't yet paid.
Vocês três não trabalham juntos?,Don't you three work together?
Você cresceu.,You've grown up.
Vocês cresceram.,You've grown up.
Tom passou o Natal com a família.,Tom spent Christmas with his family.
"Você sente falta deles, não sente?","You miss them, don't you?"
Tom disse que Mary estava em casa.,Tom said Mary was at home.
Não quer açúcar?,Don't you want sugar?
Não pode deixar Tom para trás.,You can't leave Tom behind.
Ajudei Tom a pular o muro.,I helped Tom climb over the wall.
Estou indo buscar Tom.,I'm on my way to pick Tom up.
Não vejo a hora de conhecer Tom.,I can't wait to meet Tom.
Agora você sabe por quê.,Now you know why.
Agora vocês sabem por quê.,Now you know why.
Não precisamos mais de você.,We don't need you anymore.
Não precisamos mais de vocês.,We don't need you anymore.
Tom ainda não lavou o carro.,Tom still hasn't washed the car.
Eu sabia que Tom não estava dizendo a verdade.,I knew Tom wasn't telling the truth.
Tom não quer tocar.,Tom doesn't want to play.
Tom não queria se aposentar.,Tom didn't want to retire.
"Tom não sabe o que está fazendo, sabe?","Tom doesn't know what he's doing, does he?"
Tom deveria estudar mais.,Tom should study more.
Nosso dinheiro acabou.,Our money ran out.
Estamos em casa.,We're at home.
Ela é a garota que aceita e me ama como sou.,She's the girl who accepts and loves me as I am.
Tom mandou uma mensagem a Mary.,Tom texted Mary.
O Tom trabalha aqui.,Tom works here.
O Tom já comeu?,Has Tom eaten yet?
Tom já comeu?,Has Tom eaten yet?
Não precisamos fazer isso todo dia.,We don't have to do this every day.
Tom teve de ir lá sozinho.,Tom had to go there alone.
Como você sabe?,How do you know?
Como vocês sabem?,How do you know?
Não pare.,Don't stop.
A polícia virá?,Will the police come?
Entreguei a carta a Tom.,I handed the letter to Tom.
Tom me entregou a carta.,Tom handed me the letter.
Tom e Mary não precisam saber disso.,Tom and Mary don't need to know that.
Tom me entregou a carta.,Tom handed the letter to me.
Entreguei a carta a Tom.,I handed Tom the letter.
Temos de proteger a floresta tropical.,We must protect the rainforest.
Quero receber o meu salário!,I wanna get paid.
Eu não gosto muito deles.,I don't like them that much.
Não gosto muito deles.,I don't like them that much.
Eu não gosto muito delas.,I don't like them that much.
Não gosto muito delas.,I don't like them that much.
Quem roubou?,Who stole it?
Quem o roubou?,Who stole it?
Quem a roubou?,Who stole it?
Eu farei qualquer coisa para ajudar o Tom.,I'm going to do whatever I can to help Tom.
Eu não roubei.,I didn't steal it.
Não roubei.,I didn't steal it.
Eu não quero ela no meu carro.,I don't want her in my car.
Não quero ela no meu carro.,I don't want her in my car.
Eu só não sabia o que fazer.,I just didn't know what to do.
O Tom traiu o seu país.,Tom betrayed his country.
Tom traiu o seu país.,Tom betrayed his country.
Ele viajou pelo país.,He traveled around the country.
Não vejo a hora de sair da prisão.,I can't wait to get out of prison.
Ela está fazendo um ótimo trabalho.,She's doing a great job.
O Tom tem estudado.,Tom has been studying.
Tom tem estudado.,Tom has been studying.
Nós podemos estudar aqui.,We can study here.
Podemos estudar aqui.,We can study here.
Não pense que eu não sei onde você estava noite passada e o que você estava fazendo.,"Don't think I don't know where you were last night, and what you were doing."
Ele está ganhando tempo.,He's gaining time.
"Quanto mais a gente aprende, mais tem o que aprender.","More we learn, more we gotta learn."
Nós chegamos em segurança.,We've arrived safely.
Chegamos em segurança.,We've arrived safely.
Eu me lembro também.,"I remember it, too."
Me lembro também.,"I remember it, too."
Eu também me lembro.,"I remember it, too."
Também me lembro.,"I remember it, too."
Você já nos contou isso.,You've told us this already.
Sami passou o dia com a sua filha.,Sami spent the day with his daughter.
Fui promovido semana passada.,I got promoted last week.
Eu fui promovido semana passada.,I got promoted last week.
O Tom só precisa descansar um pouco.,Tom just needs a little rest.
Tom só precisa descansar um pouco.,Tom just needs a little rest.
Você não se lembra deles?,Don't you remember them?
Você não se lembra delas?,Don't you remember them?
Vocês não se lembram deles?,Don't you remember them?
Vocês não se lembram delas?,Don't you remember them?
O Tom não pode me machucar.,Tom can't hurt me.
"É importante, você não acha?","It's important, don't you think?"
"Isso é importante, você não acha?","It's important, don't you think?"
"Isto é importante, você não acha?","It's important, don't you think?"
Mary disse que tem estado muito ocupada a semana inteira.,Mary said that she's been very busy all week.
Ela tem estado ocupada a semana inteira.,She's been very busy all week.
Ela mente.,She lies.
"Você comprou isso do Tom, não comprou?","You bought it from Tom, didn't you?"
Por que você não quer ajudar a polícia?,Why don't you want to help the police?
Quem sabe realmente?,Who really knows?
Eu terei tempo de fazer isso essa tarde.,I'll have time to do that this afternoon.
Deveríamos dizer para a Mary que ela não tem que fazer isso?,Should we tell Mary she doesn't have to do that?
Terei tempo de fazer isso essa tarde.,I'll have time to do that this afternoon.
Sites como o Google e o Facebook guardam tudo o que você escreve e não respeitam a sua privacidade.,Sites like Google or Facebook record everything that you write and don't respect your privacy.
Dan não compartilha as fotos dele com a Linda no Facebook.,Dan didn't even share his pictures with Linda on Facebook.
Tivemos que deixar o Tom ir.,We had to let Tom go.
Tivemos de deixar o Tom ir.,We had to let Tom go.
Nós tivemos que deixar o Tom ir.,We had to let Tom go.
Nós tivemos de deixar o Tom ir.,We had to let Tom go.
Vocês não podem ir embora agora.,You guys can't leave yet.
Eu provavelmente vou de táxi.,I'll probably come by taxi.
Eu prefiro ir de metrô do que ir de trem.,I'd rather go by subway than by train.
Prefiro ir de metrô do que ir de trem.,I'd rather go by subway than by train.
Falso.,Wrong.
Onde começamos?,Where do we start?
Eu darei uma nova chance para ele.,I'll give him another chance.
Eu darei uma outra chance para ele.,I'll give him another chance.
Darei uma outra chance para ele.,I'll give him another chance.
O Tom já comeu.,Tom already ate.
Tom não sabia que ele não deveria estar fazendo o que estava.,Tom didn't know he shouldn't be doing what he was doing.
Você tem certeza de que não quer fazer uma pausa?,Are you sure you don't want to take a break?
Aposto que sei o que está errado.,I bet I know what's wrong.
Não sei o que o Tom vai achar.,I don't know what Tom will think.
Nos acostumamos com tudo.,We get used to anything.
Eu fui interrogado.,I was interrogated.
Na verdade eu odeio pornô.,Actually I hate porn.
Tom parecia preparado.,Tom seemed prepared.
Tom e Mary disseram que eles prefeririam não ir com a gente.,Tom and Mary said they'd rather not go with us.
Tom arriscou o bastante.,Tom has risked enough.
Tom foi expulso da festa.,Tom was kicked out of the party.
Tom não bebe leite.,Tom doesn't drink milk.
Eu não suportava olhar para ela.,I couldn't bear to look at her.
Eu não vou dizer isso.,I'm not going to say that.
Onde vocês estão agora?,Where are you guys now?
Tom disse que não estava com raiva.,Tom said he wasn't mad.
Ontem liguei três vezes para Tom.,I called Tom three times yesterday.
Tom é o único que não pode fazer isso?,Is Tom the only one who can't do that?
O ferimento é profundo.,The wound is deep.
Isso é o que eu sempre digo.,That's what I always say.
Mary se manteve ocupada.,Mary kept herself busy.
Eu não acho que Tom conheça os detalhes.,I don't think Tom knows the details.
Eu não acho que Tom possa pagar isso tudo.,I don't think Tom can pay that much.
Eu não sei quando Tom chegou a Boston.,I don't know when Tom got to Boston.
Sou um herói.,I'm a hero.
Sou herói.,I'm a hero.
Toma cuidado!,Take care!
Tom não lê.,Tom doesn't read.
"As mãos tentando os nós desapertar, / salpicadas as fitas sobre a fronte / de peçonhenta baba, horrendos gritos / ele vai desferindo, os ares atroando.","The hands trying to untie the knots / the ribbons speckled on the forehead / of poisonous spit, horrendous cries / he goes vibrating, making the air pulsate."
Não me arrependo.,I don't regret it.
Você seria idiota de confiar nela.,You'd be stupid to trust her.
Ele veio chutando e gritando.,He came kicking and screaming.
Você sabe que eu não danço.,You know I don't dance.
Vocês sabem que eu não danço.,You know I don't dance.
"Acostuma-te a isso, Tom.","Get used to it, Tom."
Sami quer ficar no Egito.,Sami wants to stay in Egypt.
Sami não ligou de volta para Layla.,Sami didn't call Layla back.
Sami ficou extremamente irritado.,Sami went ballistic.
Sami não sabia o que estava fazendo.,Sami didn't know what he was doing.
Sami treinou os pôneis de Layla.,Sami trained Layla's poneys.
Ela não confia em ninguém.,She doesn't trust anyone.
Eu mal pude dizer quem era quem.,I could hardly tell who was who.
"Antes que eu pudesse dizer algo, Tom saiu pela porta.","Before I could say anything, Tom walked out the door."
Tom disse que se sentiu aliviado.,Tom said he felt relieved.
Eu admiti que não fiz isso.,I admitted I didn't do that.
"Ou eu estou certo, ou você está.",Either I'm right or you are.
Você não sabia que Tom estava morando em Boston?,Didn't you know Tom was living in Boston?
Eu vou arriscar.,I'll take my chance.
Você nunca vai voltar?,Aren't you ever coming back?
Tom não era tímido.,Tom wasn't shy.
Melhorou.,It's gotten better.
"Você pinta o cabelo, não é?","You dye your hair, don't you?"
Tom correu em direção à porta.,Tom ran toward the door.
Tom nunca fala sobre as ex dele.,Tom never talks about his exes.
Não quero nem saber.,I don't even want to know.
"Eu dei um para ela, também.","I gave one to her, too."
"Tom te enviou, não?","Tom sent you, didn't he?"
Tom ainda ri disso.,Tom still laughs about it.
Tom ainda está rindo disso.,Tom still laughs about it.
Ela é sua filha também.,"She's your daughter, too."
Eu não vou sem o Tom.,I'm not leaving without Tom.
Tom nos fez sair.,Tom made us leave.
Eles viajaram para o leste.,They travelled eastwards.
Vou falar com Tom agora mesmo.,I'll go talk to Tom right now.
Não vejo nada de errado com zoológicos.,I don't see anything wrong with zoos.
Sami não podia realizar procedimentos em pacientes.,Sami couldn't perform procedures on patients.
"Eu nunca disse ""não"".",I never said no.
Ela está secretamente apaixonada por ele.,She's secretly in love with him.
Eu não consigo dormir.,I can't sleep.
Eu não posso dormir.,I can't sleep.
Não posso dormir.,I can't sleep.
Eu fechei o meu guarda-chuva.,I closed my umbrella.
Fechei o meu guarda-chuva.,I closed my umbrella.
Tom perguntou a Mary por que ela não tinha que fazer aquilo.,Tom asked Mary why she didn't have to do that.
Tom perguntou a Mary porque ela não tinha de fazer aquilo.,Tom asked Mary why she didn't have to do that.
Nós não faremos isso hoje.,We won't do that today.
O Tom não tem medo da morte.,Tom doesn't fear death.
Tom não tem medo do escuro.,Tom isn't afraid of the dark.
Eles começaram a correr quando viram a polícia.,They began to run when they saw the police.
Ainda estou trabalhando nisso.,I'm still working on that.
Não posso fazer o que o Tom faz.,I can't do what Tom does.
Tom não queria ficar aqui.,Tom didn't want to stay here.
Não parece que o Tom tenha se machucado demais.,Tom doesn't seem to have been injured badly.
Isso seria ruim.,It'd be bad.
"Tom não pôde fazer isso, pôde?","Tom couldn't do that, could he?"
Tom não fez isso de noite.,Tom didn't do that tonight.
Tom não nos deixou fazer isso.,Tom didn't let us do that.
Tom não acha que vai fazer isso.,Tom doesn't think he'll do that.
Vamos jogá-los para fora!,Let's throw them out!
Eu disse para a Mary que eu a não deixaria ir.,I told Mary I wouldn't allow her to go.
Tom já não é mais um garoto.,Tom isn't a young guy anymore.
Tom não consegue parar de olhar para a Mary.,Tom can't stop looking at Mary.
Tom acabou de voltar para casa.,Tom just came home.
Honestamente eu não sabia nada sobre isso.,I honestly didn't know a thing about this.
Não me lembro da última vez em que vi o Tom feliz.,I can't remember the last time I saw Tom so happy.
Eles não vão falar com o Tom.,They won't speak to Tom.
Elas não vão falar com o Tom.,They won't speak to Tom.
Eu o fechei.,I closed it.
Eu fechei.,I closed it.
Eu só não acho isso engraçado.,I just don't think this is funny.
Eu só não acho que isso seja engraçado.,I just don't think this is funny.
Por que você não gosta dela?,Why don't you like her?
Eu não fiz sequer uma pergunta.,I didn't ask even one question.
Tom disse que estaria disposto a fazer isso amanhã.,Tom said he'd be willing to do that tomorrow.
Eu estou pronto. E você?,I'm ready. And you?
"Estou pronto, e você?",I'm ready. And you?
Tom torceu o tornozelo ontem.,Tom sprained his ankle yesterday.
É melhor voltarmos antes que escureça.,We'd better get back before dark.
Mas não tenho dinheiro algum.,But I don't have any money.
Mary não me contaria com quem ela teria falado.,Mary wouldn't tell me who she'd talked to.
Tom talvez tenha estado aqui.,Tom might've been there.
Tom perguntou se ele realmente tem que fazer aquilo.,Tom asked if he really had to do that.
Tom provavelmente sabe que eu não gosto dele.,Tom probably knows I don't like him.
Eu falei com o Tom sobre isso.,I talked to Tom about that.
Falei com o Tom sobre isso.,I talked to Tom about that.
Eu acho que sei por que o Tom não precisa fazer aquilo.,I think I know why Tom doesn't need to do that.
Não deixe essa oportunidade passar!,Don't let this opportunity slip away!
Tom ainda não está pronto para desistir.,Tom isn't ready to give up yet.
Tom não está pronto para desistir ainda.,Tom isn't ready to give up yet.
Eu estive trabalhando a minha vida toda.,I've been working all my life.
Estive trabalhando a minha vida toda.,I've been working all my life.
Eu não quero te perder.,I don't wanna lose you.
Eu sei que é terrível.,I know it's terrible.
Eu sei que é horrível.,I know it's terrible.
Sei que é horrível.,I know it's terrible.
Eu comecei o meu próprio negócio.,I just started my own business.
Tom agiu como se não conhecesse a Mary.,Tom acted like he didn't know Mary.
Eu estive orando por você.,I've been praying for you.
Estive orando por você.,I've been praying for you.
Eu estive orando por vocês.,I've been praying for you.
Estive orando por vocês.,I've been praying for you.
Tom diz saber que Mary vai fazer isso.,Tom says he knows Mary will do that.
Eu não mostrei para ninguém essas fotos.,I didn't show anybody those pictures.
Não mostrei para ninguém essas fotos.,I didn't show anybody those pictures.
Eu não sei por que Tom e Mary não querem fazer isso.,I don't know why Tom and Mary don't want to do that.
"Ela sabia que o que estava fazendo estava errado, mas mesmo assim continuou a fazê-lo.","She knew what she was doing was wrong, but she still did it."
Todos apenas olhavam para eles.,Everybody just stared at them.
Todos apenas olhavam para elas.,Everybody just stared at them.
Nós precisamos de todos.,We need it all.
Precisamos de todos.,We need it all.
Eu não sei de quem são esses óculos.,I don't know whose glasses these are.
Por que você me parou?,Why didn't you stop me?
Eu não estou brincando!,I'm not kidding!
Tom está feliz?,Is Tom happy?
Tom pôs sua mochila na mesa.,Tom put his backpack on the table.
E se ele voltar agora?,What if he comes back now?
Tom sabe que precisa de tempo.,Tom knows he has to buy time.
Eu te disse o que eu sei.,I've told you what I know.
Já terminamos.,We've already finished.
Eu não sabia que você não podia dirigir.,I didn't know you couldn't drive.
Eu não sabia como responder o Tom.,I didn't know how to respond to Tom.
"Para mim, ser médico não é uma profissão, é uma vocação.","For me, being a doctor isn't a job, it's a calling."
Não posso só ficar sentado e não fazer nada.,I can't just sit back and do nothing.
Eu já consegui um lugar para morar.,I've already got a place to live.
Já consegui um lugar para morar.,I've already got a place to live.
Obrigado por isso.,Thanks for this.
Isso não é assim.,That's not how it is.
"Nós esperamos pela Mary, mas ela não veio.","We waited for Mary, but she didn't come."
Eu não quero desistir.,I don't want to give up.
Não quero desistir.,I don't want to give up.
Tom não estava triste com isso.,Tom wasn't very upset by that.
Vira e mexe o Tom pede ajuda.,Tom often asks for help.
Eu estou vivendo o sonho americano.,I'm living the American dream.
Estou vivendo o sonho americano.,I'm living the American dream.
Eu nunca tive esse problema com o Tom.,I never had that problem with Tom.
Nunca tive esse problema com o Tom.,I never had that problem with Tom.
Ela é honesta.,She's honest.
"Essa é uma boa história, Tom.","That's a good story, Tom."
Eu quero que vocês a conheçam.,I want you guys to meet her.
Eu não sei onde eu deveria colocar isso.,I don't know where I should put this.
Não sei onde eu deveria colocar isso.,I don't know where I should put this.
O Tom não precisa acordar tão cedo.,Tom didn't need to get up so early.
Não quero me casar.,I don't want to get married.
Tom virou e andou até a porta.,Tom turned and walked to the door.
Você tem que voltar para casa.,You got back home.
Vocês têm que voltar para casa.,You got back home.
Tom sentirá saudades da Mary.,Tom will miss Mary.
Tom falou muito.,Tom talked a lot.
Nós nem sabemos os nomes deles.,We didn't even know their names.
Nós nem sabemos os nomes delas.,We didn't even know their names.
Tom parecia estar sonolento.,Tom looked drowsy.
Que diabos você vai fazer com isso?,What the hell are you going to do with it?
Que diabos vocês vão fazer com isso?,What the hell are you going to do with it?
Eu acho que agora acabou.,I think it's over now.
Um minuto! De quem é esse cabelo?,Wait a minute! Whose hair is this?!
Eu não queria realmente vencer.,I didn't really want to win.
Eu não queria realmente ganhar.,I didn't really want to win.
"Você não concordaria, Tom?","Wouldn't you agree, Tom?"
Eu me machuquei.,I've been hurt.
Me machuquei.,I've been hurt.
Só precisamos de dinheiro para fazer isso.,We just need money to do it.
Não enche o meu saco!,Don't fuck with me!
Tom pensava que Mary não ia querer morar em Boston.,Tom thought Mary wouldn't want to live in Boston.
Tom não está com raiva de você também.,Tom isn't mad at you either.
Eles nunca apareceram.,They never showed up.
Elas nunca apareceram.,They never showed up.
"Isso não é sobre ela, é?","This isn't about her, is it?"
"Isso não é sobre ela, não é?","This isn't about her, is it?"
Eles foram abençoados.,They were blessed.
Elas foram abençoadas.,They were blessed.
Tom não está pronto também.,Tom isn't ready either.
Eu não estou tão ocupado assim.,I'm not busy at all.
Nós vamos encontrá-la.,We're going to find her.
Vamos encontrá-la.,We're going to find her.
Dan queria falar com a polícia de novo.,Dan wanted to talk to the police again.
Nenhum de nós quer isso.,None of us want that.
Eu trabalhei em meu escritório ontem.,I worked in my office yesterday.
Trabalhei em meu escritório ontem.,I worked in my office yesterday.
Eu espero que a Mary não pense que nós nos esquecemos dela.,I hope Mary doesn't think we've forgotten her.
Eu espero que a Mary não pense que nos esquecemos dela.,I hope Mary doesn't think we've forgotten her.
Eu já dei para a Mary o que ela realmente queria.,I've already given Mary what she really wanted.
Eles são crianças normais.,They're normal kids.
Tom ficou rico vendendo carros usados.,Tom got rich selling used cars.
O Tom ficou rico vendendo carros usados.,Tom got rich selling used cars.
"Você não vai contar para o Tom, vai?","You won't tell Tom, will you?"
"Você não vai contar para o Tom, não é?","You won't tell Tom, will you?"
"Vocês não vão contar para o Tom, vão?","You won't tell Tom, will you?"
"Vocês não vão contar para o Tom, não é?","You won't tell Tom, will you?"
Eu só quero contar para o Tom uma coisa.,I just want to tell Tom something.
Só quero contar para o Tom uma coisa.,I just want to tell Tom something.
Eu fiz o que é o melhor para mim.,I did what's best for me.
Fiz o que é o melhor para mim.,I did what's best for me.
Eu também fiz isso.,I've also done that.
Também fiz isso.,I've also done that.
