pt-br,en
Fui ao cinema com meu irmão.,I went to the cinema with my brother.
"Eu admirei muito o estilo místico de Pitágoras, e a magia secreta dos números.","I have often admired the mystical way of Pythagoras, and the secret Magic of numbers."
Ele não é o único que tem essa opinião.,He isn't the only one with this opinion.
Eu costuma jogar frequentemente tênis com ele nos domingos.,I often used to play tennis with him on Sundays.
É só que eu admiro você.,It's just that I admire you.
É óbvio para todos que ele é um gênio.,It's obvious to everyone that he's a genius.
Estou realmente cansado e quero ir para a cama cedo.,I'm really tired and want to go to bed early.
Você sabe falar francês?,Do you speak French?
Você fala francês?,Do you speak French?
Vocês falam francês?,Do you speak French?
Ele herdou o negócio do seu pai.,He inherited the business from his father.
A partida foi cancelada por causa de chuva.,The match was cancelled due to rain.
Eu não uso mais óculos.,I don't wear glasses anymore.
Eu deixei de usar óculos.,I don't wear glasses anymore.
Eu não preciso mais usar óculos.,I don't wear glasses anymore.
Você já decidiu sobre o que vai ser sua tese?,Have you already decided on your thesis topic?
Eu parei de fumar.,I quit smoking.
Eu estou jogando mahjong pela primeira vez.,I'm trying mah-jong for the first time.
Ele não está falando sério.,He's not serious.
Ele não é uma pessoa séria.,He's not serious.
Vou tentar.,I will try.
Você comprou este livro?,Did you buy this book?
A mulher observa e o homem pensa.,The woman observes and the man thinks.
Sou bom no japonês.,I'm good at Japanese.
Vou fazer exercícios todo dia.,I'm going to exercise every day.
A festa de Trang foi tão divertida quanto um velório.,Trang's party was as much fun as a funeral wake.
"A mulher observa, o homem decide.","Woman observes, man decides."
Ele chamou um táxi para mim.,He called me a taxi.
Ele me chamou um táxi.,He called me a taxi.
Ele trabalha num banco.,He works at a bank.
Para onde você está indo?,Where are you going?
Aonde você vai?,Where are you going?
Aonde você está indo?,Where are you going?
Eu não quis dar essa impressão.,I didn't mean to give that impression.
O que você almoçou hoje?,What did you have for lunch today?
Leva mais ou menos 10 minutos para chegar na estação de trem a pé.,It takes about 10 minutes to get to the train station by foot.
Que pôr-do-sol lindo.,What a beautiful sunset.
Eu me pergunto se ele virá amanhã.,I wonder if he'll come tomorrow.
Será que ele virá amanhã?,I wonder if he'll come tomorrow.
Você é humano.,You're a human.
Sua mãe sabe dirigir?,Can your mom drive a car?
"Por favor, lave bem suas mãos antes de comer.",Please wash your hands properly before eating.
O mundo que eu vi no meu sonho era um mundo de paz sem guerra.,The world which I saw in my dream was a peaceful world devoid of war.
"Você pode estudar, não importa a sua idade.","You can study, no matter your age."
Não foi tão caro quanto eu achei que fosse.,It was cheaper than I thought.
Eu comi o queijo.,I ate the cheese.
A comida era ótima na Itália.,The food was great in Italy.
"Antes de dar ordens, você deve aprender a obedecer.","Before you give orders, you must learn to obey."
Eu provavelmente posso te dar sete minutos.,I can probably give you seven minutes.
Eu acho que eu posso te esperar por mais sete minutos.,I can probably give you seven minutes.
Nós o atrapalhamos.,We disturbed him.
Não há cura para dor de cotovelo.,There is no cure for lovesickness.
Sou um homem solitário.,I am a lonely man.
Você gosta de tênis?,Do you like tennis?
Você precisa disso.,You need this.
Até o inferno pode ser um bom lugar para viver quando você se acostuma com ele.,Even hell can be a nice place to live when you get used to it.
Tenho que dormir logo.,I've got to get to sleep soon.
Como você respondeu?,How did you reply?
E o que você disse?,How did you reply?
O que o médico disse?,What did the doctor say?
O que disse o médico?,What did the doctor say?
Que disse o médico?,What did the doctor say?
Ele é um bom advogado.,He is an able lawyer.
"Se não fosse o meu conselho, você teria fracassado.",But for my advice you would have failed.
Faz muito tempo.,It's been a long time.
Faz séculos que eu não te vejo.,I haven't seen you in ages.
Eu dei muito trabalho a ele.,I caused him a lot of trouble.
Eu causei muitos problemas para ele.,I caused him a lot of trouble.
Eu fiz uma boneca para Ann.,I made a doll for Ann.
Ele se ofende fácil.,He is quick to take offence.
Ele não tem nem ideia de como essa reunião é importante.,He doesn't have any idea how important this meeting is.
Eu não entendi nada do que ele disse.,I couldn't understand anything that he said.
"Se você olhar de longe, a maioria das coisas vão parecer bonitas.","If you look from afar, most things will look nice."
Coisas que você vê com seus olhos não são necessariamente verdades.,Things that you see with your eyes are not necessarily true.
O muro que separa criminosos de não criminosos não é tão grosso quanto pensamos.,The wall separating criminals from non-criminals is not as thick as we think.
Meus olhos estão doendo.,My eyes hurt.
Meus olhos doem.,My eyes hurt.
Ivo viu a uva.,Ivo saw the grape.
Eu acabei de terminar de ler O Morro dos Ventos Uivantes.,I just finished reading Wuthering Heights.
Eu estou com dor de garganta.,I have a sore throat.
Eu sou um bom motorista de táxi.,I'm a good taxi driver.
"Seu nariz está escorrendo. ""D-desculpe.""","Your nose is dripping. ""S-sorry."""
Eu vou sair em uma hora.,I'm going out in an hour.
"Não se preocupe! Mesmo se eu beber, isso não afeta minha capacidade de dirigir.","Don't worry! Even if I drink, it doesn't have an effect on my driving."
Ele tirou 90 em Inglês.,He got 90% in English.
Eu queria ter tempo para ficar e conversar com você.,I wish I had the time to stay and talk with you.
Quão generoso você é para me dar tanto dinheiro.,How generous you are to give me so much money.
Quão generosa você é para me dar tanto dinheiro.,How generous you are to give me so much money.
"Ela disse ""obrigada pela refeição"" para o cozinheiro.","She said, ""Thank you for the meal,"" to the cook."
"Eu me pergunto que efeito os avanços tecnológicos tais como a Internet, telefones celulares e tecnologia de digitalização têm na consciência, nas ações e no interesse por política das pessoas.","I wonder what effect technical advances such as the Internet, mobile phones and digitalization technology have on the people's awareness, actions and interest in politics."
Quando você vai se casar?,When will you get married?
Quando você vai se casar?,When are you going to get married?
Isso não é chato?,Isn't that annoying?
"Idade? ""16.""","Age? ""16."""
"Qual é a sua idade? ""Tenho dezesseis anos.""","How old are you? ""I'm sixteen."""
"Quantos anos você tem? ""Dezesseis.""","How old are you? ""I'm sixteen."""
"Você deve estar triste, já que você perdeu um de seus amigos.",You must be sad since you lost one of your friends.
Seus amigos sentirão saudades de você quando você for embora.,You will be missed by your friends when you're gone.
Pessoas machucadas machucam pessoas.,Hurt people hurt people.
Eu consigo fazer sozinho!,I can do it by myself!
Ela costumava ser professora.,She used to be a teacher.
"Se há algo que seja uma ato imperdoável, é o ato de não perdoar.","If there is such a thing as an unforgivable act, it is the act of not forgiving."
Eu tenho muito dever de casa.,I have a lot of homework.
Ele tem uma voz agradável.,He has a pleasant voice.
A sorte é como uma mulher: ela tem que ser desejada.,Luck is like a woman - it must be desired.
"Apesar da pouca idade, ele fez um bom trabalho.","Despite his young age, he did a very good job."
"Me desculpe, mas estou indo para casa.","I'm sorry, but I'm going home."
Eu terminei de ler aquele livro.,I've finished reading that book.
Ele dormiu demais hoje de manhã.,He overslept this morning.
Ele dormiu demais nessa manhã.,He overslept this morning.
Há muito tempo atrás havia uma ponte aqui.,"A long time ago, there was a bridge here."
Eu tenho que estudar para o teste.,I have to study for the test.
Minha esposa gripa fácil.,My wife catches colds easily.
Minha esposa tem facilidade de pegar gripe.,My wife catches colds easily.
Ela não tem que trabalhar.,She doesn't need to work.
Ela não precisa trabalhar.,She doesn't need to work.
Essa mobilha é da minha mãe.,That furniture is my mother's.
Voltarei às 6 e meia.,I'll return at 6:30.
Minha perna foi mordida por um cachorro.,My leg was bitten by that dog.
Ninguém nunca ficou rico economizando em drinques.,Nobody ever got rich by saving on drinks.
Ela frequentemente chegava atrasada na escola.,She was often late for school.
Ela muitas vezes estava atrasada para a escola.,She was often late for school.
Minha cabeça dói tanto.,My head aches so.
"Você está bem? ""Estou bem!""","Are you OK? ""I'm fine!"""
"Oi, você é o Sr. Ogawa?","Hello, are you Mr Ogawa?"
Seus alunos falam mal dele sem ele saber.,His students speak badly about him behind his back.
Você poderia falar um pouco mais devagar?,Could you talk a little slower?
Eles ainda não estão aqui.,They aren't here yet.
Ele acabou de sair.,He left just a moment ago.
Ele saiu faz pouco tempo.,He left just a moment ago.
Você devia vestir um casaco.,You should wear a coat.
Tudo bem se eu descansar um pouco?,Is it okay if I take a break?
Algum problema se eu parar por um tempo?,Is it okay if I take a break?
Você não gostaria de comer?,Wouldn't you like to eat?
"Emet, precisamos de mais carne!","Emet, we need more meat!"
Eu queria algo para beber.,I would like something to drink.
A gente só tem chá.,We only have tea.
Eu queria que a minha grama fosse emo. Daí ela se cortaria sozinha.,"I wish my grass were emo, then it would cut itself."
Você gosta das pessoas que estão governando o país?,Do you like the people leading the country?
Todo mundo ama aquele lugar.,Everyone loves that place.
Vamos comer uma melancia!,Let's eat a watermelon!
Eles ajudaram um ao outro com o dever de casa.,They helped each other with homework.
Por favor me leve para jantar!,Please take me out for dinner!
Todas essas reuniões são em inglês.,All of these meetings are in English.
É melhor eu ir logo dormir.,I'd better get to bed soon.
Se pelo menos eu cantasse melhor.,If only I could sing well.
Eu comecei o livro.,I began the book.
Eu comecei a escrever o livro.,I started writing the book.
Eu próprio já paguei multas por estacionamento proibido algumas vezes.,I've paid parking fines a number of times myself.
Eu mesmo já paguei multas por estacionamento proibido algumas vezes.,I've paid parking fines a number of times myself.
É claro que eu concordo que você deva avançar na vida através de seus próprios esforços.,Obviously I agree that you should advance in life through your own efforts.
Eu não aguento aquele barulho.,I can't stand that noise.
Eu não consigo entender nada do que você disse.,I can't understand what you said at all.
O que você disse não faz absolutamente nenhum sentido para mim.,What you said makes absolutely no sense to me.
Ela simplesmente chorou um mar de lágrimas sobre o túmulo de seu pai.,She simply wept a river of tears before her father's grave.
Eu cheguei bem a tempo de pegar o avião.,I arrived just in time for the plane.
Me fizeram esperar quase meia hora.,I was kept waiting nearly half an hour.
As pernas dele são longas.,His legs are long.
Que tipo de comida você tem?,What kind of food do you have?
O médico o aconselhou a diminuir a bebida.,The doctor advised him to cut down on drinking.
Pode um deus onipotente criar uma pedra tão pesada que até mesmo ele não consegue levantá-la?,Can an omnipotent God create a stone so heavy that even He may not lift it?
Mais vale um pássaro na mão que dois voando.,A bird in the hand is worth two in the bush.
Mais vale um pássaro na mão do que dois voando.,A bird in the hand is worth two in the bush.
O que eu deveria comprar?,What should I buy?
Eu quase pisei em um gambá ontem à noite.,I almost stepped on a skunk last night.
Eles foram de carro para a estação.,They went to the station by car.
Aaron matou Elizabeth.,Aaron killed Elizabeth.
Abbott matou Mary.,Abbott killed Mary.
Alister matou Bárbara.,Alister killed Barbara.
Foi Alistem quem matou Bárbara.,It was Alister who killed Barbara.
Foi Bárbara quem Elister matou.,It was Barbara who Elister killed.
Bárbara foi morta por Alister.,Barbara was killed by Alister.
Deram a ela o nome de Alice por causa de sua tia.,She was named Alice after her aunt.
"Você poderia me levar ao hospital, por favor?","Could you take me to a hospital, please?"
Betty é uma assassina em série.,Betty is a serial killer.
Eu sempre mantive minhas promessas.,I have always kept my promises.
George parece ser um bom garoto.,George seems to be a good boy.
Elizabeth matou Alister a sangue frio.,Elizabeth killed Alister in cold blood.
Aaron foi assassinado friamente por Mary.,Aaron was coldly killed by Mary.
Betty matou Jane enquanto ela estava cantando.,Betty killed Jane while she was singing.
Ken acendeu as velas.,Ken lit the candles.
Mary ajudou sua mãe na cozinha.,Mary helped her mother cook.
Aquela mesa é pequena demais para Meg.,That desk is too small for Meg.
Tom cometeu alguns erros no teste.,Tom made some mistakes on the test.
"Hoje eu descobri que existe um filme chamado ""Os russos estão chegando! Os russos estão chegando!"".","Today I discovered that there's a movie called ""The Russians are coming! The Russians are coming!"""
Eu tenho duas irmãs mais velhas.,I have two older sisters.
Eu sou um aluno novo.,I'm a new student.
Ele está sempre insatisfeito.,He's always dissatisfied.
Bill e seu irmão mais novo não são parecidos.,Bill and his younger brother are nothing alike.
"O que nós somos de verdade, qual é nosso caráter, se não a junção das coisas que vivenciamos desde nosso nascimento.","What are we, indeed, what is our character, if not the concentration of the things which we have lived since our birth."
"O humor pode ser dissecado, assim como um sapo, mas a coisa morre no processo e as vísceras são desalentadoras exceto para a mente puramente científica.","Humor can be dissected, as a frog can, but the thing dies in the process and the innards are discouraging to any but the pure scientific mind."
"Bonito, inteligente e charmoso - isso descreve o que ele não é.","Beautiful, intelligent and hot - this describes what he is not."
"Você não pode dizer que a civilização não avança, no entanto, a cada guerra eles matam você de um jeito novo.","You can't say that civilization doesn't advance, however, for in every war they kill you in a new way."
O único momento em que as pessoas não gostam de boatos é quando o boato é sobre elas.,The only time people dislike gossip is when you gossip about them.
Abaixe as mãos.,Put your hand down.
Deixe-me dar uma olhada.,Let me have a look.
Raposas são animais selvagens.,Foxes are wild animals.
Está claro isso?,Is that clear?
Ele é um educador maravilhoso.,He's a wonderful educator.
Quer botar pimenta?,Do you want pepper on it?
A alma é a prisão do corpo.,The soul is the prison of the body.
"Se ele telefonar, diga-lhe que vou entrar em contato com ele depois.","If he calls, tell him I will get in touch with him later."
Ele gosta de achar defeitos nos outros.,He likes finding faults in others.
Eu gostaria que você entendesse.,I would like you to understand.
Eu me lembro de tê-la visto em algum lugar.,I remember having seen her somewhere.
É melhor evitá-la agora pois ela está violenta.,"It'd be better to avoid her now, because she's violent."
Eu apenas quero o que é melhor para todo mundo.,I only want what's best for everyone.
Quando você começou estudar alemão?,When did you start learning German?
Quando você começou a aprender alemão?,When did you start learning German?
Posso entrar?,Can I come in?
Auckland é uma cidade da Nova Zelândia.,Auckland is a city in New Zealand.
Vocês comem carne?,Do you eat meat?
"Você pode usar meu escritório, se preferir.","You can use my office, if you like."
Sua raiva é compreensível.,Her anger is understandable.
A minha faca está quebrada.,My knife is broken.
Você é novo?,Are you new?
Vocês são novos?,Are you new?
O telefone foi inventado por Bell em 1876.,The telephone was invented by Bell in 1876.
"Ele disse: ""Me deixe em paz!""","He said: ""Leave me alone!"""
"Ele disse: ""Me deixe em paz!""","He said: ""Leave me in peace!"""
Havia dois bolos.,There were two cakes.
Veio sozinho hoje?,You came alone today?
Você veio sozinho hoje?,You came alone today?
Esse trem para em todas as estações.,This train stops at all stations.
Você tem papel?,Do you have paper?
Eles decidiram por de lado velhas desavenças.,They have decided to put aside old wounds.
Eles decidiram esquecer antigas mágoas.,They have decided to put aside old wounds.
Quanto tempo um trem leva para ir de Shangai a Zhengzhou?,How long would a train from Shanghai to Zhengzhou take?
Ele comprou um novo dicionário para mim.,He bought me a new dictionary.
Ontem eu comprei um carro vermelho.,"Yesterday, I bought a red car."
Meu pai não gosta de futebol.,My father doesn't like soccer.
O trem está com dez minutos de atraso hoje.,The train is ten minutes late today.
Eu tenho três vezes mais dinheiro que você.,I've got three times more money than you.
Tenho três vezes mais dinheiro que você.,I've got three times more money than you.
Ele não parece ser um garoto muito inteligente.,He doesn't seem to be a very intelligent boy.
Não faça com os outros o que você não quer que seja feito com você.,Don't do to others that which you would not wish done to yourself.
Ela almoça aqui de tempos em tempos.,She eats lunch here from time to time.
Ele almoça aqui de vez em quando.,She eats lunch here from time to time.
Todos gostam dela.,Everyone likes her.
Todo mundo gosta dela.,Everyone likes her.
O telefone tocou por bastante tempo.,The phone rang for a long time.
"Não saia, pois está chovendo.","Don't go out, as it's raining."
Nosso filho morreu durante a guerra.,Our son died during the war.
Você é de Urumqi?,Are you from Urumqi?
Me dê a colher.,Give me the spoon.
Dizem que suco de beterraba pode diminuir a pressão sanguínea.,They say that beet juice can lower blood pressure.
Ele tem três filhos homens.,He has three sons.
Eu uso o Firefox.,I use Firefox.
Ela está morta.,She is dead.
Eu só estou pensando em você.,I'm only thinking of you.
Eu preciso de mais ouro.,I need more gold.
Eu quero meu dinheiro de volta.,I want my money back.
O que está acontecendo nessa cidade?,What's going on in this town?
"Ela é famosa como cantora, mas não como poeta.",She's famous as a singer but not as a poet.
Você vai voltar amanhã?,Will you come back tomorrow?
Quantos livros ele tem?,How many books does he have?
"Quando uma frase não pertence a ninguém, como esta aqui, você mesmo pode corrigi-la.","When a sentence is not owned by anyone, like this one, you can correct it yourself."
Que diabos está fazendo?,What the hell are you doing?
Seus problemas não são da minha conta.,Your problems don't concern me.
Eu fui um professor.,I was a teacher.
Eu era um professor.,I was a teacher.
Eu fui uma professora.,I was a teacher.
Eu era uma professora.,I was a teacher.
O bolo está gostoso.,The cake is tasty.
Errar é humano.,To err is human.
"Perdoai-os, pois eles não sabem o que fazem.","Forgive them, for they know not what they do."
"Perdoe-me, pois eu pequei.","Forgive me, for I have sinned."
Ele vai ser um bom marido para a minha irmã.,He will be a good husband to my sister.
Mayuko não suporta viver sozinha.,Mayuko can't stand living alone.
Resolva você mesmo o problema.,Solve this problem on your own.
Eu estou indo para a cama.,I'm going to bed.
Estou indo para a cama.,I'm going to bed.
Posso adicionar diversas sentenças em idiomas diferentes.,I can add many sentences in different languages.
O que você disse?,What did you say?
"O que você disse? Você poderia, por favor, dizer outra vez?",What did you say? Could you please say it again?
Deus existe.,God exists.
Eu entendo.,I understand.
Entendo.,I understand.
O que você está dizendo?,What're you saying?
Com licença.,Excuse me.
"Você poderia repetir mais uma vez, por favor?",Could you please repeat it once again?
Você é uma pessoa.,You're a person.
Você levou um tiro?,Have you been shot?
Olhe atrás de você.,Look behind you.
Hoje o dia está ótimo.,It's a nice day.
O céu está limpo.,The skies are clear.
Você está com febre?,Do you have a fever?
Estou falando sério.,I'm serious.
Venha conosco.,Come along with us.
Estou cansado mesmo.,I'm really tired.
Estou cansada mesmo.,I'm really tired.
Estou realmente cansado.,I'm really tired.
Estou realmente cansada.,I'm really tired.
Estou com muita fome.,I'm very hungry.
Estou faminto.,I'm very hungry.
Tenho muita fome.,I'm very hungry.
"Sim, está correto.",Yes. That's right.
Para mim chega.,I've had enough.
Estou cheio.,I'm full.
Estou cheia.,I'm full.
Meu estômago está cheio.,My stomach's full.
A área estava calma.,The area was quiet.
Desculpe por interrompê-lo enquanto você está falando.,I'm sorry to interrupt you while you're talking.
Um bolo estava congelado.,A cake was frosted.
Estou grávida?,Am I pregnant?
Você é daqui?,Are you from here?
Você está ensinando espanhol?,Are you teaching Spanish?
"Garçom, gostaria de uma bebida.","Bartender, I'd like to have a drink."
Tome cuidado ao atravessar a rua.,Be careful crossing the street.
Tome cuidado para atravessar a rua.,Be careful crossing the street.
Porque está sujo e molhado.,Because he is dirty and wet.
Porque a minha escada velha está quebrada.,Because my old ladder is broken.
Porque estão vendo televisão.,Because they're watching television.
Posso pagar-te com um cheque pessoal?,Can I pay you with a personal check?
Você pode consertar o pneu furado agora?,Can you fix the flat tire now?
"Você pode me ajudar, por favor?","Can you help me, please?"
Você consegue consertar esses sapatos?,Can you repair these shoes?
Você pode consertar estes sapatos?,Can you repair these shoes?
"Limpe sua sala, por favor.","Clean your room, please."
Feche os olhos.,Close your eyes.
Parabéns pelo seu aniversário.,Congratulations on your anniversary.
Você fez as tarefas?,Did you do your homework?
Você fez seu dever de casa?,Did you do your homework?
Eu preciso de cirurgia?,Do I need surgery?
Você concorda?,Do you agree?
Vocês concordam?,Do you agree?
Você tem um casaco e um chapéu?,Do you have a coat and a hat?
Você tem uma página na internet?,Do you have a website?
Você tem um endereço de e-mail?,Do you have an e-mail address?
Você tem fita adesiva?,Do you have any tape?
Você tem sapatos e meias?,Do you have shoes and socks?
Você está com febre e a sua garganta dói?,You have a temperature and your throat hurts?
Você tem essa camisa em preto?,Do you have this shirt in black?
Você conhece um bom dentista?,Do you know a good dentist?
Você gosta da chuva?,Do you like rain?
Você fala árabe?,Do you speak Arabic?
Você fala chinês?,Do you speak Chinese?
Você acha que vale a pena? Eu não acho.,Do you think it's worthwhile? I don't think so.
Você quer um pouco de bolo?,Do you want a little cake?
Você quer esta camiseta?,Do you want this shirt?
Você quer esta camisa?,Do you want this shirt?
Alguém aqui fala inglês?,Does anyone here speak English?
Com licença. O supermercado está aberto?,Excuse me. Is the supermarket open?
"Perdoe-me, mas eu não tenho troco.","Forgive me, but I have no change."
De agora em diante tente chegar na hora.,"From now on, try to arrive on time."
Vá ao pátio.,Go to the patio.
"Bom dia, gostaria de reservar um quarto.","Good morning, I would like to reserve a room."
"Bom dia, você gostaria de algo para comer?","Good morning, would you like something to eat?"
Manipule isto com muito cuidado.,Handle this very carefully.
Você terminou?,Have you finished?
Tem xampu?,Have you got shampoo?
Tem um tamanho menor?,Have you got a smaller size?
Você tem algo para gripe?,Have you something for a cold?
Ele sempre usa roupas escuras.,He always wears dark clothes.
Ele aproximou-se e ajoelhou-se.,He approached and fell on his knees.
Ele compra roupas.,He buys clothes.
Ele não gosta de laranja.,He doesn't like oranges.
Ele tem um pouco de dinheiro.,He has a little money.
Ele tem um ovo e o está comendo.,He has an egg and is eating it.
Ele tem uma entrada.,He has a ticket.
Ele tem um ingresso.,He has a ticket.
Ele tem menos pão.,He has less bread.
Ele está com o pé na grama.,He has the foot in the grass.
Ele se machucou ao cair.,He hurt himself when he fell.
Ele machucou seu braço levantando tanto peso.,He hurt his arm lifting so much weight.
Ele está comprando um chapéu antigo.,He is buying a vintage hat.
Ele vem da França.,He is from France.
Ele é da França.,He is from France.
Ele é dos Estados Unidos.,He is from the United States.
Não é nem bonito nem feio.,He is neither handsome nor ugly.
Ele está correndo no interior.,He is running indoors.
Está economizando para comprar uma casa.,He is saving in order to buy a house.
Ele está ensinando espanhol às crianças.,He is teaching Spanish to the children.
Ele não está aqui porque está doente.,He isn't here because he's ill.
Ele não é como o irmão.,He isn't like his brother.
Ele gosta de nadar.,He likes to swim.
Ele precisa de uma toalha.,He needs a towel.
Ele lê árabe.,He reads Arabic.
Diz que os vegetais crus são mais saudáveis.,He says that raw vegetables are healthier.
Ele vende carros.,He sells cars.
Ele vende frutas.,He sells fruit.
Ela mandou flores à mãe.,He sent flowers to his mother.
Logo percebeu que lhe haviam roubado.,He soon realised that he had been robbed.
Ele fala árabe.,He speaks Arabic.
"Ele apareceu de repente, depois de três anos ausente.",He suddenly appeared after a three-year absence.
"Ele quer um bolo, mas não precisa dele.",He wants a cake but doesn’t need it.
Ele quer copos vermelhos.,He wants red glasses.
Ele lava as calças.,He washes the pants.
Ele usa óculos para ler.,He wears eyeglasses to read.
"Ele está usando sapatos, mas não está usando meias.",He wears shoes but wears no socks.
Pesa setenta quilos.,He weighs 70 kilos.
Ele ganhou muitas competições.,He won many competitions.
Ele trabalha à noite.,He works at night.
Ele trabalha de manhã.,He works in the morning.
Ele é mais baixo que o seu pai.,He's shorter than his father.
"Oi, vô.","Hello, Grandfather."
Oi. Como você se chama?,"Hello, what's your name?"
Seu noivo lhe deu um anel muito grande.,Her fiancé gave her a very big ring.
Suas meias são cinza.,Her socks are gray.
Aqui está a minha bagagem.,Here is my baggage.
Aqui está o seu cardápio.,Here is your menu.
Seus atos me confundem.,His actions confuse me.
As ações dele me confundem.,His actions confuse me.
É isso mesmo que eu quero.,I really do want that.
Eu parei de beber cerveja.,I've quit drinking beer.
Gostaria de uma bebida?,Would you like a drink?
Que doença eu tenho?,What disease do I have?
Que tipo de emprego você está procurando?,What kind of job are you looking for?
Eu vi um cachorro sujo entrar no jardim.,I saw a dirty dog enter the garden.
"Você está corretíssimo, Sr. Primeiro Ministro!","You are absolutely right, Mr Prime Minister!"
É grande demais.,It's too large.
Nós nos divertimos muito.,We really enjoyed ourselves.
Eu pego dinheiro emprestado.,I borrow money.
Eu gosto de matemática.,I like math.
Eu gosto de matemática.,I like mathematics.
"Um dia, enquanto eu estava brincando com o meu gato, eu, finalmente, mordi a orelha dele.","One day, while I was playing with my cat, I finally bit his ear."
Ele bebeu muito ontem.,He drank a lot yesterday.
Você pode me ensinar a tocar piano?,Could you teach me how to play the piano?
Está muito frio.,It's very cold.
Eu adoro festas.,I love parties.
Boa pergunta.,That's a good question.
Essa é uma boa pergunta.,That's a good question.
Todo mundo morre.,Everyone dies.
Limpe o seu quarto.,Clean your room.
Limpa o teu quarto.,Clean your room.
"Essa pensão custa 7000 yenes. Sem refeições, é 2000 yenes mais barata.","This pension costs 7000 yen. Without meals, it's 2000 yen cheaper."
Como você sabe disso?,How do you know that?
Como você faz isso?,How do you make that?
Quanto tempo você vai estar em Londres?,How long are you going to be in London?
Quantos quilômetros são daqui até a estação ferroviária?,How many kilometers is it from here to the railroad station?
Quanto custa essa calça?,How much are these pants?
Quanto custa o quilo do abacaxi?,How much is the kilo of pineapple?
Quantos anos você tem?,How old are you?
Qual a idade dessa pintura?,How old is that painting?
Qual é a idade do seu filho?,How old is your son?
Quantos anos seu filho tem?,How old is your son?
Quantos anos tem o seu filho?,How old is your son?
Como está a minha esposa?,How's my wife doing?
Eu sou alto.,I am tall.
Eu sou um amigo do Roberts.,I am a friend of Robert's.
Sou jornalista.,I am a journalist.
Sou divorciado.,I am divorced.
Estou jantando com meu marido.,I am eating dinner with my husband.
Estou almoçando com a minha irmã.,I am eating lunch with my sister.
Eu sou do Egito.,I am from Egypt.
Vou lavar as mãos.,I am going to wash my hands.
Eu sou feliz.,I am happy.
Eu estou feliz.,I am happy.
Estou na sala de aula.,I am in the classroom.
Estou procurando os queijos.,I am looking for the cheeses.
Eu não sou alérgico à penicilina.,I am not allergic to penicillin.
Eu ainda não estou pronto.,I am not ready yet.
Não estou dizendo isso por mim.,I am not saying it for my own sake.
Estou jogando no parque.,I am playing in the park.
Estou brincando no parque.,I am playing in the park.
Estou tocando no parque.,I am playing in the park.
Estou pronto.,I am ready.
Estou agradecido pela comida que como.,I am thankful for the food I eat.
Eu sinto muito.,I am very sorry.
Comprei várias fitas de cantores populares.,I bought several cassettes of the popular singers.
Eu escovo os dentes com uma escova de dentes.,I brush my teeth with a toothbrush.
Eu posso me ver no espelho.,I can see myself in the mirror.
Não posso ficar sem você.,I can't be without you.
Eu não posso ficar sem você.,I can't be without you.
Escovo os dentes; penteio o cabelo.,I brush my teeth; I comb my hair.
Eu não fiz por querer.,I didn't do it on purpose.
Não bebo café.,I do not drink coffee.
Eu não durmo bem.,I do not sleep well.
Não sei se tenho bastante dinheiro.,I don't know if I have enough money.
"Eu não conheço o prefeito, mas gostaria de conhecê-lo.",I don't know the mayor but I'd like to meet him.
"Eu não conheço a prefeita, mas gostaria de conhecê-la.",I don't know the mayor but I'd like to meet him.
Não sei onde eles estão.,I don't know where they are.
Não sei onde elas estão.,I don't know where they are.
Esqueci meu dinheiro.,I forgot my money.
Eu me esqueci.,I forgot.
Estou com dor no peito.,I have a pain in my chest.
Tenho dor no peito.,I have a pain in my chest.
Estou com dor de dente e quero ir ao dentista.,I have a toothache and I want to go to the dentist.
Estou com dor de dente.,I have a toothache.
Tenho cabelos castanhos.,I have brown hair.
Meus cabelos são castanhos.,I have brown hair.
Eu me diverti muito.,I have enjoyed myself very much.
Tem alguma coisa no meu olho.,I have something in my eye.
Eu tenho óculos de sol.,I have sunglasses.
Tenho dois irmãos e duas irmãs.,I have two brothers and two sisters.
Eu vou te matar.,I'll kill you.
Eu gosto mais da blusa branca que da azul.,I like the black blouse more than the blue.
Eu gosto de carne crua.,I like the meat rare.
Devo admitir que errei.,I must admit that I was mistaken.
Eu preciso de um martelo.,I need a hammer.
Preciso de creme contra picadas.,I need anti-itch ointment.
Prefiro uma blusa de algodão.,I prefer a cotton blouse.
Eu me arrependo muito disso.,I regret this very much.
Eu ensino inglês.,I teach English.
Agradeço de todo o coração.,I thank you with all my heart.
Acho que alguém está batendo na porta.,I think someone is knocking at the door.
Eu acho que você cometeu um erro.,I think you have made a mistake.
Eu uso a internet para fazer negócios.,I use the internet to do business.
Eu uso o Yahoo! para buscar na internet.,I use Yahoo! to search on the internet.
Normalmente eu como muito.,I usually eat a lot.
Quero um bolo azul.,I want a blue cake.
Eu quero tomar café da manhã no meu quarto.,I want breakfast in my room.
Quero dez pratos.,I want ten plates.
Eu quero isso depois.,I want that later.
Eu quero o bolo maior.,I want the bigger cake.
Quero estar com você para sempre.,I want to be with you forever.
Quero sacar um cheque.,I want to cash a check.
Eu quero te conhecer melhor.,I want to get to know you better.
Quero ir fazer compras.,I want to go shopping.
Eu quero te beijar.,I want to kiss you.
Quero lhe mostrar uma vista espetacular.,I want to show you a spectacular view.
